#   T         E        M        C        S
1.000  -1.99724  0.99930  0.02259  0.00151
1.254  -1.98406  0.99578  0.08724  0.00858
1.508  -1.94974  0.98586  0.20247  0.03069
1.762  -1.87467  0.96178  0.39236  0.08921
2.016  -1.74354  0.91456  0.62078  0.20477
2.269  -1.57072  0.84603  0.77786  0.34252
2.524  -1.35896  0.75573  0.80419  0.45468
2.778  -1.16626  0.67001  0.71673  0.49039
3.032  -0.99826  0.59273  0.58913  0.47348
3.286  -0.86512  0.53082  0.46013  0.42525
3.540  -0.76156  0.48218  0.36194  0.37434
